"Country","Year","Sex","Age group","Mean total cholesterol (mmol/L)","Mean total cholesterol lower 95% uncertainty interval (mmol/L)","Mean total cholesterol upper 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol (mmol/L)","Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L)","Mean HDL cholesterol (mmol/L)","Mean HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)"
"Canada",2004,"Men","65-69",5.18529557063087,4.95960978595568,5.41165734092711,3.93098594156514,3.78284518200315,4.08222360069791,1.22836483777752,1.15289204464962,1.30737602631666
"Canada",2004,"Men","70-74",5.05266704954881,4.82059482034762,5.2831227988933,3.79591629192713,3.64036262769498,3.95330516091256,1.2337793728654,1.15858941640973,1.31297532631763
"Canada",2004,"Men","75-79",4.91971803762283,4.67699483249716,5.16337002007643,3.66276066893682,3.49193120916194,3.83685987284821,1.239281289208,1.16178356434348,1.31875282653722
"Canada",2004,"Men","80-84",4.80023290736103,4.52337617073341,5.07147615394811,3.5449839235266,3.33230114165427,3.75956689824901,1.2459388934503,1.15991748382731,1.33069109756959
"Canada",2004,"Men","85plus",4.68892991437471,4.31908548515694,5.06656301059335,3.43815226302509,3.09485058959089,3.7920594089835,1.25785137453864,1.14889653754348,1.36746922624192
"Canada",2005,"Men","18-19",4.06193839828436,3.88766492569947,4.23262524529372,2.78351621626302,2.63525171254212,2.93134713284872,1.22739478545248,1.1552788404764,1.30162476066887
"Canada",2005,"Men","20-24",4.36475743451877,4.20014258481158,4.52929822096032,3.0980378152943,2.96906088559606,3.22607833959223,1.22275411340864,1.15485601899689,1.29394740684086
"Canada",2005,"Men","25-29",4.72638192297059,4.55711069507596,4.89915520684479,3.47484595692808,3.35791118050186,3.59210141948025,1.21454382387113,1.14701033600079,1.28288954582923
"Canada",2005,"Men","30-34",5.00770146236204,4.82831670618191,5.19108216422459,3.76854265100685,3.65189750971206,3.88459157217292,1.20618803494366,1.13909408304034,1.27482454832858
"Canada",2005,"Men","35-39",5.21226497823418,5.02256971693649,5.40576867650812,3.98156410405239,3.86099884146375,4.09897329912545,1.19959143102469,1.13206170018148,1.26885451200453
"Canada",2005,"Men","40-44",5.34362139612805,5.14708831283291,5.5462002986571,4.11634652258648,3.99196302821713,4.23947934602781,1.19665869651271,1.12821210435491,1.26701215644485
"Canada",2005,"Men","45-49",5.40547863335026,5.20113314156272,5.61259302669599,4.1755734046927,4.04662179530595,4.30465886265712,1.19919138155739,1.1293108295432,1.27056076638561
"Canada",2005,"Men","50-54",5.40520141781558,5.19370474730032,5.61703603385615,4.16761595437592,4.03748723189237,4.30014698250178,1.20661894858622,1.13523364486087,1.28074003198793
"Canada",2005,"Men","55-59",5.35381128804693,5.14004068003815,5.57097587652995,4.10653308156231,3.97223325895904,4.2442563057295,1.21599877230451,1.14325633527,1.29062463824305
"Canada",2005,"Men","60-64",5.26253763352677,5.04559947854743,5.47839115442294,4.00661791728719,3.86560400487611,4.14940536404174,1.22437116634614,1.15108859627107,1.3000393856745
"Canada",2005,"Men","65-69",5.14373360519838,4.92476602809934,5.35942983772764,3.88186297217545,3.73676042517407,4.03005216604898,1.23075612742443,1.15703653388503,1.30613063434463
"Canada",2005,"Men","70-74",5.0108761154659,4.78682954026668,5.23411401931253,3.74596013644148,3.59352747044801,3.90106002058379,1.23615333533214,1.16270264691393,1.31133764320881
"Canada",2005,"Men","75-79",4.87749093592743,4.639032382309,5.11112448274003,3.61258822984706,3.44520143470286,3.78360853471342,1.24164854303939,1.16579196422105,1.31776227807171
"Canada",2005,"Men","80-84",4.75710383818105,4.48777919493499,5.02242924695229,3.49542607215397,3.28588567241148,3.70837752265758,1.2483275035163,1.16485062695494,1.33142320528184
"Canada",2005,"Men","85plus",4.64355406181812,4.27879839414213,5.015028128634,3.39093485552101,3.04792605707484,3.74583143990342,1.26033610657078,1.15279753910348,1.36785461588244
"Canada",2006,"Men","18-19",4.03944409361414,3.86660405718002,4.20761679808561,2.75962338451021,2.61366075532709,2.90776668566737,1.22906298055179,1.15858538190169,1.30036969263156
"Canada",2006,"Men","20-24",4.33854941716545,4.17642413491603,4.50053154895052,3.07022891853822,2.94249813279578,3.19698974132885,1.22444108197829,1.15858194387571,1.29276280351085
"Canada",2006,"Men","25-29",4.69603781966053,4.53079541278543,4.86173811264903,3.4424268358809,3.32662381496953,3.55786011874846,1.21625199798561,1.15034893234829,1.28176381816766
"Canada",2006,"Men","30-34",4.97433656256289,4.80048546305937,5.15173310154315,3.73248650692654,3.6172521532542,3.84565173844135,1.20791440645423,1.14255433586394,1.27321230565509
"Canada",2006,"Men","35-39",5.17670539255246,4.99290689214521,5.36340262493798,3.94263899673837,3.82416524825898,4.05857089419771,1.20133698756318,1.13581272982739,1.26697109243543
"Canada",2006,"Men","40-44",5.30640405630914,5.11395197981006,5.50104174326415,4.07511537037967,3.95220972517681,4.1970064644984,1.19842842149148,1.13229584437322,1.26546786707662
"Canada",2006,"Men","45-49",5.36685966687719,5.16946820923839,5.56588456101231,4.13239705612628,4.00610841981436,4.25872958679493,1.20099391295865,1.13330367934345,1.26944815042866
"Canada",2006,"Men","50-54",5.36534876368063,5.16312202963261,5.56903937557858,4.12272383614344,3.99339034120209,4.25356462230494,1.20845873111622,1.13922871254846,1.27854073628772
"Canada",2006,"Men","55-59",5.31299731252327,5.10699596546251,5.52225589245758,4.06009384648582,3.92879962711421,4.19390961408681,1.2178682095477,1.14720035143635,1.28901735659361
"Canada",2006,"Men","60-64",5.22113973253613,5.01139202582676,5.43248717676534,3.95874817391904,3.82087216222088,4.09871851308813,1.22625082562221,1.15529088214915,1.29816480431598
